id|nct_id|ctgov_group_code|units|scope|count
408|NCT02539108|B1|Participants|Overall|30
409|NCT02536664|B3|Participants|Overall|483
410|NCT02536664|B2|Participants|Overall|173
411|NCT02536664|B1|Participants|Overall|310
412|NCT02538107|B1|Participants|Overall|279
413|NCT02537730|B1|Participants|Overall|33
414|NCT02535741|B1|Participants|Overall|168
415|NCT02534324|B3|Participants|Overall|146
416|NCT02534324|B2|Participants|Overall|48
417|NCT02534324|B1|Participants|Overall|98
418|NCT02533401|B1|Participants|Overall|34
419|NCT02531646|B4|Participants|Overall|66
420|NCT02531646|B3|Participants|Overall|11
421|NCT02531646|B2|Participants|Overall|18
422|NCT02531646|B1|Participants|Overall|37
423|NCT02530671|B3|Participants|Overall|110
424|NCT02530671|B2|Participants|Overall|55
425|NCT02530671|B1|Participants|Overall|55
426|NCT02528097|B3|Participants|Overall|2
427|NCT02528097|B2|Participants|Overall|1
428|NCT02528097|B1|Participants|Overall|1
429|NCT02527161|B1|Participants|Overall|96
430|NCT02527148|B3|Participants|Overall|99
431|NCT02527148|B2|Participants|Overall|50
432|NCT02527148|B1|Participants|Overall|49
433|NCT02526550|B1|Participants|Overall|50
434|NCT02525536|B4|Participants|Overall|18
435|NCT02525536|B3|Participants|Overall|6
436|NCT02525536|B2|Participants|Overall|6
437|NCT02525536|B1|Participants|Overall|6
438|NCT02519595|B4|Participants|Overall|125
439|NCT02519595|B3|Participants|Overall|40
440|NCT02519595|B2|Participants|Overall|35
441|NCT02519595|B1|Participants|Overall|50
442|NCT02519387|B1|Participants|Overall|78
443|NCT02516163|B1|Participants|Overall|24
444|NCT02515994|B3|Participants|Overall|221
445|NCT02515994|B2|Participants|Overall|112
446|NCT02515994|B1|Participants|Overall|109
447|NCT02515279|B1|Participants|Overall|463
448|NCT02512783|B3|Participants|Overall|171
449|NCT02512783|B2|Participants|Overall|75
450|NCT02512783|B1|Participants|Overall|96
451|NCT02512679|B1|Participants|Overall|20
452|NCT02512224|B3|Participants|Overall|5824
453|NCT02512224|B2|Participants|Overall|2912
454|NCT02512224|B1|Participants|Overall|2912
455|NCT02507752|B1|Participants|Overall|72
456|NCT02507375|B3|Participants|Overall|15
457|NCT02507375|B2|Participants|Overall|9
458|NCT02507375|B1|Participants|Overall|6
459|NCT02506881|B5|Participants|Overall|74
460|NCT02506881|B4|Participants|Overall|24
461|NCT02506881|B3|Participants|Overall|25
462|NCT02506881|B2|Participants|Overall|12
463|NCT02506881|B1|Participants|Overall|13
464|NCT02506257|B5|Participants|Overall|90
465|NCT02506257|B4|Participants|Overall|9
466|NCT02506257|B3|Participants|Overall|27
467|NCT02506257|B2|Participants|Overall|28
468|NCT02506257|B1|Participants|Overall|26
469|NCT02504775|B1|Participants|Overall|28
470|NCT02503982|B1|Participants|Overall|13
471|NCT02503865|B4|Participants|Overall|351
472|NCT02503865|B3|Participants|Overall|64
473|NCT02503865|B2|Participants|Overall|222
474|NCT02503865|B1|Participants|Overall|65
475|NCT02503215|B1|Participants|Overall|14
476|NCT02502734|B1|Participants|Overall|60
477|NCT02502487|B4|Participants|Overall|258
478|NCT02502487|B3|Participants|Overall|86
479|NCT02502487|B2|Participants|Overall|86
480|NCT02502487|B1|Participants|Overall|86
481|NCT02499692|B1|Participants|Overall|103
482|NCT02498678|B3|Participants|Overall|48
483|NCT02498678|B2|Participants|Overall|23
484|NCT02498678|B1|Participants|Overall|25
485|NCT02498522|B3|Participants|Overall|166
486|NCT02498522|B2|Participants|Overall|83
487|NCT02498522|B1|Participants|Overall|83
488|NCT02496533|B3|Participants|Overall|217
489|NCT02496533|B2|Participants|Overall|112
490|NCT02496533|B1|Participants|Overall|105
491|NCT02496221|B1|Participants|Overall|20
492|NCT02495948|B1|Participants|Overall|167
493|NCT02495831|B1|Participants|Overall|23
494|NCT02494596|B1|Participants|Overall|18
495|NCT02494440|B1|Participants|Overall|90
496|NCT02494323|B1|Participants|Overall|70
497|NCT02492451|B4|Participants|Overall|118
498|NCT02492451|B3|Participants|Overall|39
499|NCT02492451|B2|Participants|Overall|39
500|NCT02492451|B1|Participants|Overall|40
501|NCT02492165|B5|Participants|Overall|250
502|NCT02492165|B4|Participants|Overall|30
503|NCT02492165|B3|Participants|Overall|60
504|NCT02492165|B2|Participants|Overall|60
505|NCT02492165|B1|Participants|Overall|100
506|NCT02491944|B1|Participants|Overall|10
507|NCT02491892|B3|Participants|Overall|78
508|NCT02491892|B2|Participants|Overall|37
509|NCT02491892|B1|Participants|Overall|41
510|NCT02490670|B3|Participants|Overall|28
511|NCT02490670|B2|Participants|Overall|14
512|NCT02490670|B1|Participants|Overall|14
513|NCT02490475|B5|Participants|Overall|19
514|NCT02490475|B4|Participants|Overall|5
515|NCT02490475|B3|Participants|Overall|6
516|NCT02490475|B2|Participants|Overall|2
517|NCT02490475|B1|Participants|Overall|6
518|NCT02488317|B3|Participants|Overall|140
519|NCT02488317|B2|Participants|Overall|70
520|NCT02488317|B1|Participants|Overall|70
521|NCT02488018|B1|Participants|Overall|10
522|NCT02486952|B1|Participants|Overall|151
523|NCT02485483|B3|Participants|Overall|1292
524|NCT02485483|B2|Participants|Overall|1015
525|NCT02485483|B1|Participants|Overall|277
526|NCT02485158|B1|Participants|Overall|28
527|NCT02484898|B1|Participants|Overall|200
528|NCT02483611|B4|Participants|Overall|47
529|NCT02483611|B3|Participants|Overall|15
530|NCT02483611|B2|Participants|Overall|16
531|NCT02483611|B1|Participants|Overall|16
532|NCT02481934|B1|Participants|Overall|5
533|NCT02481219|B3|Participants|Overall|122
534|NCT02481219|B2|Participants|Overall|62
535|NCT02481219|B1|Participants|Overall|60
536|NCT02480439|B4|Participants|Overall|24
537|NCT02480439|B3|Participants|Overall|8
538|NCT02480439|B2|Participants|Overall|8
539|NCT02480439|B1|Participants|Overall|8
540|NCT02480010|B3|Participants|Overall|68
541|NCT02480010|B2|Participants|Overall|33
542|NCT02480010|B1|Participants|Overall|35
543|NCT02479763|B3|Participants|Overall|100
544|NCT02479763|B2|Participants|Overall|50
545|NCT02479763|B1|Participants|Overall|50
546|NCT02478671|B1|Participants|Overall|4
547|NCT02478580|B3|Participants|Overall|67
548|NCT02478580|B2|Participants|Overall|33
549|NCT02478580|B1|Participants|Overall|34
550|NCT02478372|B3|Participants|Overall|242
551|NCT02478372|B2|Participants|Overall|121
552|NCT02478372|B1|Participants|Overall|121
553|NCT02476422|B3|Participants|Overall|328
554|NCT02476422|B2|Participants|Overall|162
555|NCT02476422|B1|Participants|Overall|166
556|NCT02475980|B1|Participants|Overall|13
557|NCT02475564|B3|Participants|Overall|44
558|NCT02475564|B2|Participants|Overall|22
559|NCT02475564|B1|Participants|Overall|22
560|NCT02475278|B1|Participants|Overall|50
561|NCT02473510|B3|Participants|Overall|300
562|NCT02473510|B2|Participants|Overall|240
563|NCT02473510|B1|Participants|Overall|60
564|NCT02473367|B1|Participants|Overall|20
565|NCT02472847|B3|Participants|Overall|50
566|NCT02472847|B2|Participants|Overall|26
567|NCT02472847|B1|Participants|Overall|24
568|NCT02472756|B1|Participants|Overall|40
569|NCT02472522|B3|Participants|Overall|100
570|NCT02472522|B2|Participants|Overall|50
571|NCT02472522|B1|Participants|Overall|50
572|NCT02472366|B3|Participants|Overall|16
573|NCT02472366|B2|Participants|Overall|10
574|NCT02472366|B1|Participants|Overall|6
575|NCT02471755|B3|Participants|Overall|89
576|NCT02471755|B2|Participants|Overall|45
577|NCT02471755|B1|Participants|Overall|44
578|NCT02471612|B1|Participants|Overall|157
579|NCT02470949|B1|Participants|Overall|9
580|NCT02469961|B3|Participants|Overall|45
